"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"D2";"LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"RED";;;
2;"J9,J8,J13,J12,J11,J10";"C96ABC";6;"5535090-4";;;
3;"J7,J6,J4,J3,J2,J1";"615008138221";6;"615008138221";;;
4;"H16,H15,H14,H13,H12,H11,H10,H9,H8,H7,H6,H5,H4,H3,H2,H1";"MountingHole_3.2mm_M3_DIN965_Pad";16;"MountingHole";;;
5;"R1";"R_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"370";;;
6;"J15";"PhoenixContact_GMSTBV_2,5_4-GF-7,62_1x04_P7.62mm_Vertical_ThreadedFlange_MountHole";1;"1829170";;;
7;"J14,J5";"IDC-Header_2x25_P2.54mm_Vertical_Lock";2;"71918-150LF";;;
8;"D1";"D_SOD-123";1;"MMSZ5249B-E3-18";;;
